Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,89.000000,89.000000,88.080002,88.599998,88.599998,8789400
2017-01-04,88.985001,90.889999,88.580002,90.510002,90.510002,11490200
2017-01-05,91.910004,94.809998,91.639999,94.370003,94.370003,16821500
2017-01-06,94.400002,94.500000,93.000000,93.889999,93.889999,7639800
2017-01-09,94.160004,95.650002,93.309998,94.720001,94.720001,10829500
2017-01-10,96.400002,97.903999,95.550003,96.750000,96.750000,14780600
2017-01-11,96.919998,97.449997,95.599998,96.940002,96.940002,8735900
2017-01-12,96.849998,96.849998,94.800003,95.900002,95.900002,8424700
2017-01-13,95.949997,97.379997,95.760002,96.269997,96.269997,10701100
2017-01-17,96.320000,96.589996,95.000000,96.120003,96.120003,6342400
2017-01-18,96.269997,96.269997,95.260002,96.000000,96.000000,6610700
2017-01-19,96.419998,96.699997,95.580002,96.169998,96.169998,7090000
2017-01-20,96.449997,97.150002,95.670998,96.059998,96.059998,9685800
2017-01-23,96.480003,98.669998,96.260002,98.410004,98.410004,14090300
2017-01-24,103.150002,103.190002,99.940002,101.430000,101.430000,37181500
2017-01-25,102.459999,104.269997,101.900002,104.059998,104.059998,23322800
2017-01-26,103.919998,104.570000,102.169998,102.750000,102.750000,12504800
2017-01-27,102.250000,102.699997,101.290001,102.070000,102.070000,8031000
2017-01-30,101.199997,101.459999,100.089996,101.019997,101.019997,8619800
2017-01-31,100.239998,102.089996,100.059998,101.309998,101.309998,7530000
2017-02-01,102.070000,102.379997,100.870003,101.570000,101.570000,5736400
2017-02-02,101.279999,101.470001,100.559998,100.839996,100.839996,5371600
2017-02-03,101.500000,101.559998,100.300003,100.389999,100.389999,6197600
2017-02-06,100.169998,101.706001,100.019997,100.900002,100.900002,6866700
2017-02-07,101.040001,101.599998,100.500000,100.830002,100.830002,5655600
2017-02-08,101.550003,103.989998,101.160004,103.570000,103.570000,10178500
2017-02-09,103.570000,104.180000,102.559998,103.339996,103.339996,8435800
2017-02-10,103.879997,103.940002,102.309998,102.360001,102.360001,7680300
2017-02-13,102.820000,104.440002,102.620003,103.099998,103.099998,9729000
2017-02-14,103.139999,103.599998,100.896004,101.589996,101.589996,10240700
2017-02-15,102.059998,102.129997,100.110001,101.550003,101.550003,12384400
2017-02-16,101.860001,102.099998,100.500000,100.820000,100.820000,7464000
2017-02-17,100.690002,101.730003,100.300003,100.519997,100.519997,8258200
2017-02-21,101.029999,102.540001,100.910004,102.120003,102.120003,8189600
2017-02-22,102.480003,105.199997,102.419998,104.199997,104.199997,15779400
2017-02-23,104.720001,104.860001,101.820000,102.459999,102.459999,10095600
2017-02-24,101.389999,103.000000,101.300003,102.949997,102.949997,7356600
2017-02-27,102.500000,103.824997,102.220001,103.599998,103.599998,6865900
2017-02-28,103.889999,103.989998,102.029999,102.900002,102.900002,8017500
2017-03-01,103.680000,104.989998,103.209999,104.040001,104.040001,10331800
2017-03-02,103.800003,104.580002,102.769997,103.190002,103.190002,7983000
2017-03-03,102.989998,103.419998,102.440002,103.309998,103.309998,6320900
2017-03-06,102.760002,103.250000,102.099998,102.309998,102.309998,6290700
2017-03-07,102.300003,103.307999,102.110001,102.629997,102.629997,4985200
